김종욱한의원,일반의원,032-812-8048,인천광역시 연수구 원인재로 88 (동춘동)
김성호한의원,일반의원,032-815-8878,인천광역시 연수구 청능대로 109 (연수동)
김규식한의원,일반의원,032-818-5131,인천광역시 연수구 비류대로 429 (연수동)
고려한의원,일반의원,032-834-1110,인천광역시 연수구 독배로40번길 47 (옥련동)
경희한의원,일반의원,032-813-7582,인천광역시 연수구 선학로 101 (선학동)
경희약손한의원,일반의원,032-833-1075,인천광역시 연수구 비류대로256번길 8-14 (청학동)
경희다인한의원,일반의원,032-859-5544,"인천광역시 연수구 인천타워대로54번길 9 (송도동,에몬스프라자빌딩 3층 304호)"
경희나라한의원,일반의원,032-821-7582,인천광역시 연수구 청능대로 93 (청학동)
PNC안과의원,일반의원,032-858-2201,인천광역시 연수구 컨벤시아대로 69 (송도동)
gsw마취통증의학과의원,일반의원,032-835-7331,"인천광역시 연수구 해돋이로 107 (송도동,더샵퍼스트월드 H동상가 71-72호)"
휴의원,일반의원,032-813-2888,인천광역시 연수구 용담로 136 (연수동)
홍성표내과의원,일반의원,032-811-5810,인천광역시 연수구 청능대로 103 (연수동)
현대의원,일반의원,032-816-7981,인천광역시 연수구 원인재로 14 (동춘동)
현대성모의원,일반의원,032-816-1367,인천광역시 연수구 함박뫼로 28 (청학동)
현대가외의원,일반의원,032-834-6653,인천광역시 연수구 독배로 42 (옥련동)
허브의원,일반의원,032-834-1116,"인천광역시 연수구 신송로 121 (송도동, 센타프라자 708호)"
해솔정신과의원,일반의원,032-814-8881,"인천광역시 연수구 벚꽃로 106 (청학동,연수광장프라자 3층 303-1)"
한양소아청소년과의원,일반의원,032-812-6727,인천광역시 연수구 원인재로 124 (동춘동)
한솔내과의원,일반의원,032-818-1888,인천광역시 연수구 용담로 131 (연수동)
한빛이비인후과의원,일반의원,032-817-2888,"인천광역시 연수구 용담로 115 (연수동,3층)"
한미의원,일반의원,032-812-3223,"인천광역시 연수구 벚꽃로 114 (연수동,연수브랫슬 205-1호)"
한마음의원,일반의원,032-831-7505,인천광역시 연수구 청학로 16 (청학동)
한림의원,일반의원,032-831-8883,인천광역시 연수구 한나루로196번길 3 (옥련동)
하얀나라피부과의원,일반의원,032-835-7590,"인천광역시 연수구 해돋이로 107 (송도동,더샵퍼스트월드 H동상가 76호, 77호)"
피앤비의원,일반의원,032-832-2251,인천광역시 연수구 한진로 23 (옥련동)
푸른의원,일반의원,032-833-9033,인천광역시 연수구 독배로40번길 21 (옥련동)
코아이비인후과의원,일반의원,032-834-9009,"인천광역시 연수구 컨벤시아대로 69 (송도동,밀레니엄빌딩 409호)"
최대경여성의원,일반의원,032-813-1616,인천광역시 연수구 앵고개로 250 (동춘동)
차지현정신건강의학과의원,일반의원,032-821-2001,인천광역시 연수구 청능대로 109 (연수동)
준가정의학과의원,일반의원,032-812-0246,인천광역시 연수구 새말로 32 (연수동)
주일중소아청소년과의원,일반의원,032-815-0209,인천광역시 연수구 먼우금로 302 (연수동)
조은산부인과의원,일반의원,032-813-0075,인천광역시 연수구 학나래로5번길 51 (선학동)
제일내과의원,일반의원,032-832-4622,인천광역시 연수구 한나루로 190 (옥련동)
제이드비뇨기과의원,일반의원,032-833-9696,인천광역시 연수구 컨벤시아대로 81 (송도동)
정부순의원,일반의원,032-872-2754,인천광역시 연수구 해돋이로 102 (송도동)
장효죽성형외과의원,일반의원,032-814-1004,인천광역시 연수구 앵고개로 262 (동춘동)
일신내과의원,일반의원,032-813-8275,인천광역시 연수구 먼우금로 189 (청학동)
인하정형외과의원,일반의원,032-833-8275,인천광역시 연수구 독배로 41 (옥련동)
이화웰봄소아청소년과의원,일반의원,032-833-7119,"인천광역시 연수구 인천타워대로54번길 13 (송도동,해승메디피아 201호)"
이정호내과,일반의원,032-815-0975,인천광역시 연수구 비류대로 429 (연수동)
이성문소아청소년과의원,일반의원,032-818-9391,"인천광역시 연수구 청능대로113번길 11 (연수동,3층 302호)"
이상영가정의학과의원,일반의원,032-819-3636,"인천광역시 연수구 비류대로 437 (연수동,청보빌딩 2층)"
이든의원,일반의원,032-815-0590,인천광역시 연수구 선학로 101 (선학동)
이강범이비인후과의원,일반의원,032-831-8275,"인천광역시 연수구 독배로 41 (옥련동,인영빌딩 3층 303호)"
이.이.주내과의원,일반의원,032-817-7114,인천광역시 연수구 앵고개로 242 (동춘동)
의료법인 화랑의료재단 청솔메디컬의원,일반의원,032-217-7577,인천광역시 연수구 청솔로 11 (청학동)
의료법인 이원의료재단 이원의원,일반의원,032-210-2270,"인천광역시 연수구 하모니로 291 (송도동, 이원생명과학연구원빌딩)"
의료법인 루가의료재단 지안의원,일반의원,032-830-2700,인천광역시 연수구 센트럴로 263 (송도동)
유기수내과의원,일반의원,032-815-7991,인천광역시 연수구 원인재로 88 (동춘동)
웅내과의원,일반의원,032-819-7575,인천광역시 연수구 학나래로118번길 9 (선학동)
우리외과의원,일반의원,032-814-9393,인천광역시 연수구 먼우금로 194 (연수동)
우리산부인과의원,일반의원,032-818-5121,인천광역시 연수구 앵고개로 254 (동춘동)
우리들소아청소년과의원,일반의원,032-817-8666,인천광역시 연수구 앵고개로 254 (동춘동)
올바른신경외과의원,일반의원,032-819-7775,"인천광역시 연수구 앵고개로 256 (동춘동,웅지프라자 3층 301호)"
연수함문외과의원,일반의원,032-821-0565,인천광역시 연수구 청능대로 103 (연수동)
연수이안과의원,일반의원,032-814-9480,인천광역시 연수구 앵고개로 250 (동춘동)
연수의원,일반의원,032-812-7575,인천광역시 연수구 원인재로 232 (연수동)
연수우리내과의원,일반의원,032-814-7746,인천광역시 연수구 학나래로6번길 35 (선학동)
연수연세정형외과의원,일반의원,032-821-4677,인천광역시 연수구 청능대로 93 (청학동)
연수성심의원,일반의원,032-812-8258,인천광역시 연수구 먼우금로 88 (동춘동)
연수산부인과,일반의원,032-813-7400,인천광역시 연수구 비류대로 437 (연수동)
